Pulpa de mamey,75,75,52,1.3,0.5,12.2,3.4,45.8,17.3,0,1.8,0,0
Pulpa de tamarindo,100,100,57,0.1,0.1,14.7,0.5,0,0,0,0,0,12.7
Pulpa de zapote negro,105,105,59,0.8,0.1,15.2,1.3,10.5,87.2,0,1.7,0,0
Puré de ciruela pasa,41,41,51,0.5,0.1,13.6,0.2,12,0.8,0,0.4,128.7,0
Puré de guayaba,65,65,49,0.1,0.1,12,1.7,0,67,0,0.1,97.5,0
Puré de guayaba gerber 2A etapa,65,65,49,0.1,0.1,12,1.7,0,67,0,0.1,97.5,0
Puré de manzana,83,83,63,0.1,0.1,16.4,1,0,1.3,0,0,60.4,13.6
Puré de manzana sin azúcar,122,122,52,0.2,0.1,13.8,1.5,4,1,1,0.2,92,0
Puré de platano,56,56,50,0.6,0.2,12.8,1.5,34.9,7.3,12.4,0.4,208.1,6.9
Rambután,175,88,55,0.6,0.3,15,0.9,8.6,3.8,3.8,0.3,167.4,14.4
Rambután en almibar,54,54,44,0.4,0.1,11.2,0.5,0,2.5,4.3,0.2,22.5,0
Rollo de frutas,21,21,78,0,0.6,18,0,3,1,2,0.2,62,10.3
Salsa de arandanos en gelatina enlatada,29,29,43,0.1,0.1,11.1,0.3,0.5,0.5,0.3,0.1,7.5,10.8
Sandia picada,160,160,48,1,0.2,12.1,0.6,59,15,4,0.3,186,9.9
Sandia rebanada,200,200,60,1.3,0.3,15.1,0.8,73.8,18.8,5,0.3,232.5,12.4
Saramuyo,130,85,63,1.8,0.8,13.8,0,7.6,27,0,0,0,0
Semilla de jinicuil,200,40,58,4.8,0.4,10.8,0.4,8,11.2,0,0.8,0,0
Tamarindo,50,25,60,0.7,0.1,15.6,1.3,0.8,0.8,3.5,0.7,157.1,14.4
Tamarindo (pulpa sin azúcar),100,100,57,0.1,0.1,14.7,0.5,0,0,0,0,0,12.7
Tamarindo pelado,30,30,72,0.9,0.2,18.8,1.5,1,1,4.3,0.8,188.5,17.2
