Harina de trigo,20,71,2,0.2,14.9,0.5,5.2,3,0.9,0.5,0.3
Harina de trigo integral,19,64,2.6,0.3,13.6,2.3,8.3,6.4,0.7,0.9,0.4
Harina de trigo para panificación,17,62,2.1,0.3,12.4,0.4,5,2.6,0.8,0.4,ND
Harina de trigo para pasteleria,17,62,1.4,0.1,13.3,0.3,3.3,2.3,1.2,0.3,ND
Harina integral,19,64,2.6,0.3,13.6,2.3,8.3,6.4,0.7,0.9,0.4
Harina integral de centeno,20,65,2.8,0.5,13.8,4.5,12,11.3,1.3,0.2,ND
Harina integral de trigo,19,64,2.6,0.3,13.6,2.3,8.3,6.4,0.7,0.9,0.4
Harina nixtamalizada,18,67,1.3,0.8,13.8,1.7,0,24.9,0.7,0.2,ND
Harina para brownies,13,60,0.7,2.3,9,0,0,0,0.2,36.6,6.3
Harina para brownies baja en grasa,18,61,0.9,1.2,12.6,0.5,0,0,0.5,56.1,8.4
Harina para hot cakes,18,61,1.7,0.2,13.3,0.5,1.5,6,0.8,243.6,1.9
Harina para reposteria,16,60,1.7,0.2,12.6,0.1,0,5,0,0.3,ND
Harina para tamales,14,62,1.4,0.7,12.7,0.1,0,19.4,0.5,0.1,ND
Hilos de trigo entrelazados con miel maple y azúcar,20,69,1.6,0.3,16,1.9,0,6.4,6.1,0.4,ND
Hojuelas de 7 fibras,20,70,2.8,0.3,15.4,2.8,0,13.9,0.5,10.6,ND
Hojuelas de arroz,16,55,3.2,0.2,11.2,0.5,50,2.5,4.1,125,1.5
Hojuelas de avena,26,65,4.6,1.9,17.5,4.1,13.6,15.3,1.4,0.9,ND
Hojuelas de avena con maple,26,65,4.6,1.9,17.5,4.1,13.6,15.3,1.4,0.9,ND
Hojuelas de avena endulzadas con miel y almendras,14,59,1.1,1.2,11.3,0.7,0,5.1,3.8,87.3,ND
"Hojuelas de avena instantaneas con pasas, dátiles y nueces. Preparado",61,71,1.7,1.1,14.3,1.3,0,56.6,2.1,125.7,ND
Hojuelas de avena instantáneas con pasas y especieas. Preparado,62,62,1.3,0.7,12.5,1,0,42.9,1.5,93,6
Hojuelas de avena instantáneas con miel maple y azúcar morena. Preparado,59,60,1.4,0.8,11.8,1.1,0,40.9,1.4,95.9,4.8
"Hojuelas de avena, fruta seca y nueces",21,72,2.1,1.1,16.5,1.6,0,0,1.9,49,ND
Hojuelas de cereales con frutas secas,18,70,1.3,1,14,1,33.3,83.3,1.5,110,ND
Hojuelas de maíz,19,67,1.4,0.1,15.8,0.6,109.3,1.3,5.4,136.7,1.8
Hojuelas de maíz azucaradas,13,52,0.7,0.1,12,0.3,106.5,0,1.9,75.6,ND
Hojuelas de maíz y trigo con frutas y nueces,18,70,1.3,1,14,1,33.3,83.3,1.5,110,ND
Hojuelas de papa para puré,20,71,1.7,0.1,16.2,1.3,9.2,5.4,0.2,20.8,ND
